time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2025/07/11/14:07:38.260299,0.30995700385225156,0.0,0.0,0.0,0.0,-0.3085404780454614
2025/07/11/14:07:38.310207,0.3084751030640174,0.0,0.0,0.0,0.0,-0.31295942692160544
2025/07/11/14:07:38.360801,0.3067764611857045,0.0,0.0,0.0,0.0,-0.31811057078584454
2025/07/11/14:07:38.410434,0.30486597634078794,0.0,0.0,0.0,0.0,-0.3240163732372936
2025/07/11/14:07:38.460987,0.3027492537798517,0.0,0.0,0.0,0.0,-0.33070225437112405
2025/07/11/14:07:38.510718,0.30043262706969903,0.0,0.0,0.0,0.0,-0.33819652376091225
2025/07/11/14:07:38.560740,0.2979231822711346,0.0,0.0,0.0,0.0,-0.34653027016777077
2025/07/11/14:07:38.610644,0.2952287852267104,0.0,0.0,0.0,0.0,-0.35573719253437164
2025/07/11/14:07:38.660401,0.292358112061685,0.0,0.0,0.0,0.0,-0.3658533531675977
2025/07/11/14:07:38.710247,0.28932068296818,0.0,0.0,0.0,0.0,-0.3769168297106112
2025/07/11/14:07:38.760872,0.28612689928916507,0.0,0.0,0.0,0.0,-0.3889672375252856
2025/07/11/14:07:38.810703,0.2827880838395437,0.0,0.0,0.0,0.0,-0.40204508846180154
2025/07/11/14:07:38.860658,0.27931652428870224,0.0,0.0,0.0,0.0,-0.41619094578687094
2025/07/11/14:07:38.910704,0.27572551927359923,0.0,0.0,0.0,0.0,-0.4314443284993576
2025/07/11/14:07:38.960698,0.2720294267031577,0.0,0.0,0.0,0.0,-0.4478423118011616
2025/07/11/14:07:39.010921,0.26824371344137876,0.0,0.0,0.0,0.0,-0.4654177648072599
2025/07/11/14:07:39.060705,0.26438500520501457,0.0,0.0,0.0,0.0,-0.4841971627355008
2025/07/11/14:07:39.110829,0.26047113506830266,0.0,0.0,0.0,0.0,-0.5041979103764301
2025/07/11/14:07:39.160921,0.2565211884197628,0.0,0.0,0.0,0.0,-0.5254251187716483
2025/07/11/14:07:39.211086,0.25255554155534277,0.0,0.0,0.0,0.0,-0.5478677905985663
2025/07/11/14:07:39.260632,0.2485958903162444,0.0,0.0,0.0,0.0,-0.5714943953601088
2025/07/11/14:07:39.311172,0.24466526429829716,0.0,0.0,0.0,0.0,-0.5962478572838995
2025/07/11/14:07:39.360764,0.24078802120096254,0.0,0.0,0.0,0.0,-0.6220400412191924
2025/07/11/14:07:39.410654,0.23698981490262172,0.0,0.0,0.0,0.0,-0.6487459085603001
2025/07/11/14:07:39.460698,0.23329752993456787,0.0,0.0,0.0,0.0,-0.6761976281851747
2025/07/11/14:07:39.510754,0.2297391743124899,0.0,0.0,0.0,0.0,-0.7041790645998398
2025/07/11/14:07:39.560678,0.22634372235294575,0.0,0.0,0.0,0.0,-0.7324212186236085
2025/07/11/14:07:39.610590,0.223140899380871,0.0,0.0,0.0,0.0,-0.7605993477538269
2025/07/11/14:07:39.660956,0.22016090138094901,0.0,0.0,0.0,0.0,-0.7883326155348868
2025/07/11/14:07:39.710430,0.2174340449171268,0.0,0.0,0.0,0.0,-0.8151871724743683
2025/07/11/14:07:39.761306,0.21499034624010604,0.0,0.0,0.0,0.0,-0.8406835084755482
2025/07/11/14:07:39.811399,0.21285903349064772,0.0,0.0,0.0,0.0,-0.8643086929257002
2025/07/11/14:07:39.860847,0.21106800213804333,0.0,0.0,0.0,0.0,-0.8855337038501366
2025/07/11/14:07:39.911177,0.2096432308278574,0.0,0.0,0.0,0.0,-0.9038354462244542
2025/07/11/14:07:39.961192,0.20860818188703173,0.0,0.0,0.0,0.0,-0.9187223264231356
2025/07/11/14:07:40.011162,0.20798321680366727,0.0,0.0,0.0,0.0,-0.9297614968257342
2025/07/11/14:07:40.061257,0.20778506088506188,0.0,0.0,0.0,0.0,-0.9366052694192031
2025/07/11/14:07:40.111337,0.20802635192619412,0.0,0.0,0.0,0.0,-0.9390138895039097
2025/07/11/14:07:40.161360,0.20871530440924135,0.0,0.0,0.0,0.0,-0.9368719916856314
2025/07/11/14:07:40.211462,0.2098555134624875,0.0,0.0,0.0,0.0,-0.9301966721446088
2025/07/11/14:07:40.261419,0.21144591225450604,0.0,0.0,0.0,0.0,-0.919136126124956
