time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:09:30.927750,0,0
2025/07/11/14:09:30.977110,0,0
2025/07/11/14:09:31.027072,0,0
2025/07/11/14:09:31.077471,0,0
2025/07/11/14:09:31.127061,0,0
2025/07/11/14:09:31.177230,0,0
2025/07/11/14:09:31.227096,0,0
2025/07/11/14:09:31.277103,0,0
2025/07/11/14:09:31.327068,0,0
2025/07/11/14:09:31.377099,0,0
2025/07/11/14:09:31.427052,0,0
2025/07/11/14:09:31.477180,0,0
2025/07/11/14:09:31.527098,0,0
2025/07/11/14:09:31.577135,0,0
2025/07/11/14:09:31.627078,0,0
2025/07/11/14:09:31.677313,0,0
2025/07/11/14:09:31.727199,0,0
2025/07/11/14:09:31.777524,0,0
2025/07/11/14:09:31.827114,0,0
2025/07/11/14:09:31.877359,0,0
2025/07/11/14:09:31.927192,0,0
2025/07/11/14:09:31.977570,0,0
2025/07/11/14:09:32.027184,0,0
2025/07/11/14:09:32.077551,0,0
2025/07/11/14:09:32.127197,0,0
2025/07/11/14:09:32.177551,0,0
2025/07/11/14:09:32.227322,0,0
2025/07/11/14:09:32.277293,0,0
2025/07/11/14:09:32.327190,0,0
2025/07/11/14:09:32.377522,0,0
2025/07/11/14:09:32.427258,0,0
2025/07/11/14:09:32.477369,0,0
2025/07/11/14:09:32.527280,0,0
2025/07/11/14:09:32.577415,0,0
2025/07/11/14:09:32.627352,0,0
2025/07/11/14:09:32.677558,0,0
2025/07/11/14:09:32.727379,0,0
2025/07/11/14:09:32.777740,0,0
2025/07/11/14:09:32.827326,0,0
2025/07/11/14:09:32.877333,0,0
2025/07/11/14:09:32.927327,0,0
2025/07/11/14:09:32.977539,0,0
2025/07/11/14:09:33.027247,0,0
2025/07/11/14:09:33.077149,0,0
2025/07/11/14:09:33.127179,0,0
2025/07/11/14:09:33.177243,0,0
2025/07/11/14:09:33.227144,0,0
2025/07/11/14:09:33.277378,0,0
2025/07/11/14:09:33.327190,0,0
2025/07/11/14:09:33.377239,0,0
2025/07/11/14:09:33.427261,0,0
2025/07/11/14:09:33.477435,0,0
2025/07/11/14:09:33.527293,0,0
2025/07/11/14:09:33.577323,0,0
2025/07/11/14:09:33.627609,0,0
2025/07/11/14:09:33.677474,0,0
2025/07/11/14:09:33.727576,0,0
2025/07/11/14:09:33.777267,0,0
2025/07/11/14:09:33.827636,0,0
2025/07/11/14:09:33.877541,0,0
2025/07/11/14:09:33.927587,0,0
2025/07/11/14:09:33.977556,0,0
2025/07/11/14:09:34.027236,0,0
2025/07/11/14:09:34.077363,0,0
2025/07/11/14:09:34.127272,0,0
2025/07/11/14:09:34.177299,0,0
2025/07/11/14:09:34.227254,0,0
2025/07/11/14:09:34.277508,0,0
2025/07/11/14:09:34.327513,0,0
2025/07/11/14:09:34.377512,0,0
2025/07/11/14:09:34.427576,0,0
2025/07/11/14:09:34.477339,0,0
2025/07/11/14:09:34.527320,0,0
2025/07/11/14:09:34.577302,0,0
2025/07/11/14:09:34.627577,0,0
2025/07/11/14:09:34.677571,0,0
2025/07/11/14:09:34.727611,0,0
2025/07/11/14:09:34.777561,0,0
2025/07/11/14:09:34.827592,0,0
2025/07/11/14:09:34.877547,0,0
2025/07/11/14:09:34.927513,0,0
2025/07/11/14:09:34.977389,0,0
2025/07/11/14:09:35.027642,0,0
2025/07/11/14:09:35.077480,0,0
2025/07/11/14:09:35.127257,0,0
2025/07/11/14:09:35.177492,0,0
2025/07/11/14:09:35.227243,0,0
2025/07/11/14:09:35.277483,0,0
2025/07/11/14:09:35.327501,0,0
2025/07/11/14:09:35.377317,0,0
2025/07/11/14:09:35.427145,0,0
2025/07/11/14:09:35.477206,0,0
2025/07/11/14:09:35.527220,0,0
2025/07/11/14:09:35.577150,0,0
2025/07/11/14:09:35.626869,0,0
2025/07/11/14:09:35.676822,0,0
2025/07/11/14:09:35.727088,0,0
2025/07/11/14:09:35.777105,0,0
2025/07/11/14:09:35.827118,0,0
2025/07/11/14:09:35.877279,0,0
2025/07/11/14:09:35.927290,0,0
2025/07/11/14:09:35.977294,0,0
2025/07/11/14:09:36.027092,0,0
2025/07/11/14:09:36.077244,0,0
2025/07/11/14:09:36.127115,0,0
2025/07/11/14:09:36.176936,0,0
2025/07/11/14:09:36.226941,0,0
2025/07/11/14:09:36.277171,0,0
2025/07/11/14:09:36.326994,0,0
2025/07/11/14:09:36.376822,0,0
2025/07/11/14:09:36.426871,0,0
2025/07/11/14:09:36.477486,0,0
2025/07/11/14:09:36.527215,0,0
2025/07/11/14:09:36.577268,0,0
2025/07/11/14:09:36.627182,0,0
2025/07/11/14:09:36.677335,0,0
2025/07/11/14:09:36.727241,0,0
2025/07/11/14:09:36.777490,0,0
2025/07/11/14:09:36.827663,0,0
2025/07/11/14:09:36.877500,0,0
2025/07/11/14:09:36.927573,0,0
2025/07/11/14:09:36.977547,0,0
2025/07/11/14:09:37.027375,0,0
