time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:08:33.777200,0,0
2025/07/11/14:08:33.827172,0,0
2025/07/11/14:08:33.877169,0,0
2025/07/11/14:08:33.927367,0,0
2025/07/11/14:08:33.977210,0,0
2025/07/11/14:08:34.027235,0,0
2025/07/11/14:08:34.077134,0,0
2025/07/11/14:08:34.127245,0,0
2025/07/11/14:08:34.177104,0,0
2025/07/11/14:08:34.227178,0,0
2025/07/11/14:08:34.277232,0,0
2025/07/11/14:08:34.327241,0,0
2025/07/11/14:08:34.377353,0,0
2025/07/11/14:08:34.427277,0,0
2025/07/11/14:08:34.477250,0,0
2025/07/11/14:08:34.527298,0,0
2025/07/11/14:08:34.577277,0,0
2025/07/11/14:08:34.627299,0,0
2025/07/11/14:08:34.677261,0,0
2025/07/11/14:08:34.727233,0,0
2025/07/11/14:08:34.777627,0,0
2025/07/11/14:08:34.827301,0,0
2025/07/11/14:08:34.877494,0,0
2025/07/11/14:08:34.927283,0,0
2025/07/11/14:08:34.977520,0,0
2025/07/11/14:08:35.027277,0,0
2025/07/11/14:08:35.077486,0,0
2025/07/11/14:08:35.127293,0,0
2025/07/11/14:08:35.177571,0,0
2025/07/11/14:08:35.227299,0,0
2025/07/11/14:08:35.277268,0,0
2025/07/11/14:08:35.327285,0,0
2025/07/11/14:08:35.377526,0,0
2025/07/11/14:08:35.427200,0,0
2025/07/11/14:08:35.477254,0,0
2025/07/11/14:08:35.527229,0,0
2025/07/11/14:08:35.577519,0,0
2025/07/11/14:08:35.627527,0,0
2025/07/11/14:08:35.677256,0,0
2025/07/11/14:08:35.727294,0,0
2025/07/11/14:08:35.777341,0,0
2025/07/11/14:08:35.827509,0,0
2025/07/11/14:08:35.877459,0,0
2025/07/11/14:08:35.927333,0,0
2025/07/11/14:08:35.977517,0,0
2025/07/11/14:08:36.027553,0,0
2025/07/11/14:08:36.077543,0,0
2025/07/11/14:08:36.127140,0,0
2025/07/11/14:08:36.177146,0,0
2025/07/11/14:08:36.227294,0,0
2025/07/11/14:08:36.277173,0,0
2025/07/11/14:08:36.327128,0,0
2025/07/11/14:08:36.377086,0,0
2025/07/11/14:08:36.427255,0,0
2025/07/11/14:08:36.477151,0,0
2025/07/11/14:08:36.527332,0,0
2025/07/11/14:08:36.577354,0,0
2025/07/11/14:08:36.627578,0,0
2025/07/11/14:08:36.677249,0,0
2025/07/11/14:08:36.727495,0,0
2025/07/11/14:08:36.777505,0,0
2025/07/11/14:08:36.827495,0,0
2025/07/11/14:08:36.877485,0,0
