time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2025/07/11/14:08:34.031776,13,1752242914,31159612,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.814355468750001,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.070553,14,1752242914,70207454,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.814355468750001,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.081887,15,1752242914,81383375,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.814355468750001,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.132359,16,1752242914,131692960,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.170494,17,1752242914,170185776,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.182454,18,1752242914,181989667,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.814355468750001,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.232529,19,1752242914,232163198,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.2009765625,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.270602,20,1752242914,270229624,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.2009765625,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.282695,21,1752242914,282357486,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.333014,22,1752242914,332604722,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.2009765625,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.370559,23,1752242914,370219361,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.2009765625,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.383338,24,1752242914,382952382,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.433725,25,1752242914,433182930,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.470962,26,1752242914,470448181,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.484050,27,1752242914,483643993,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.814355468750001,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.534152,28,1752242914,533699221,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.570726,29,1752242914,570265464,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.584557,30,1752242914,584082831,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.2009765625,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.635004,31,1752242914,634400494,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.670663,32,1752242914,670247455,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.684862,33,1752242914,684474694,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.2009765625,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.735239,34,1752242914,734697065,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2025/07/11/14:08:34.770573,35,1752242914,770196842,imu_link,0.0024161881102442782,-0.010856439198590652,-0.9731666089573526,0.2298326586309929,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0,0.0,0.0,"(1e-05, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0, 1e-05)",0.0,0.20576171875000002,9.8095703125,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
