time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:07:30.927175,0,0
2025/07/11/14:07:30.977368,0,0
2025/07/11/14:07:31.027132,0,0
2025/07/11/14:07:31.077172,0,0
2025/07/11/14:07:31.127076,0,0
2025/07/11/14:07:31.177159,0,0
2025/07/11/14:07:31.227105,0,0
2025/07/11/14:07:31.277152,0,0
2025/07/11/14:07:31.327091,0,0
2025/07/11/14:07:31.377156,0,0
2025/07/11/14:07:31.427092,0,0
2025/07/11/14:07:31.477078,0,0
2025/07/11/14:07:31.527102,0,0
2025/07/11/14:07:31.577128,0,0
2025/07/11/14:07:31.627082,0,0
2025/07/11/14:07:31.676867,0,0
2025/07/11/14:07:31.727054,0,0
2025/07/11/14:07:31.777232,0,0
2025/07/11/14:07:31.827220,0,0
2025/07/11/14:07:31.877209,0,0
2025/07/11/14:07:31.927190,0,0
2025/07/11/14:07:31.977493,0,0
2025/07/11/14:07:32.027191,0,0
2025/07/11/14:07:32.077538,0,0
2025/07/11/14:07:32.127203,0,0
2025/07/11/14:07:32.177439,0,0
2025/07/11/14:07:32.227268,0,0
2025/07/11/14:07:32.277285,0,0
2025/07/11/14:07:32.327214,0,0
2025/07/11/14:07:32.377490,0,0
2025/07/11/14:07:32.427224,0,0
2025/07/11/14:07:32.477221,0,0
2025/07/11/14:07:32.527222,0,0
2025/07/11/14:07:32.577234,0,0
2025/07/11/14:07:32.627247,0,0
2025/07/11/14:07:32.677199,0,0
2025/07/11/14:07:32.727292,0,0
2025/07/11/14:07:32.777211,0,0
2025/07/11/14:07:32.827497,0,0
2025/07/11/14:07:32.877465,0,0
2025/07/11/14:07:32.927540,0,0
2025/07/11/14:07:32.977214,0,0
2025/07/11/14:07:33.027288,0,0
2025/07/11/14:07:33.077460,0,0
2025/07/11/14:07:33.127280,0,0
2025/07/11/14:07:33.177578,0,0
2025/07/11/14:07:33.227506,0,0
2025/07/11/14:07:33.277460,0,0
2025/07/11/14:07:33.327473,0,0
2025/07/11/14:07:33.377445,0,0
2025/07/11/14:07:33.427252,0,0
2025/07/11/14:07:33.477345,0,0
2025/07/11/14:07:33.527271,0,0
2025/07/11/14:07:33.577512,0,0
2025/07/11/14:07:33.627272,0,0
2025/07/11/14:07:33.677483,0,0
2025/07/11/14:07:33.727338,0,0
2025/07/11/14:07:33.777511,0,0
2025/07/11/14:07:33.827244,0,0
2025/07/11/14:07:33.877292,0,0
2025/07/11/14:07:33.927231,0,0
2025/07/11/14:07:33.977480,0,0
2025/07/11/14:07:34.027194,0,0
2025/07/11/14:07:34.077536,0,0
2025/07/11/14:07:34.127291,0,0
2025/07/11/14:07:34.177604,0,0
2025/07/11/14:07:34.227293,0,0
2025/07/11/14:07:34.277512,0,0
2025/07/11/14:07:34.327110,0,0
2025/07/11/14:07:34.377303,0,0
2025/07/11/14:07:34.427187,0,0
2025/07/11/14:07:34.477303,0,0
2025/07/11/14:07:34.527169,0,0
2025/07/11/14:07:34.577310,0,0
2025/07/11/14:07:34.627153,0,0
2025/07/11/14:07:34.677444,0,0
2025/07/11/14:07:34.727300,0,0
2025/07/11/14:07:34.777238,0,0
2025/07/11/14:07:34.827218,0,0
2025/07/11/14:07:34.877301,0,0
2025/07/11/14:07:34.927264,0,0
2025/07/11/14:07:34.977437,0,0
2025/07/11/14:07:35.027271,0,0
2025/07/11/14:07:35.077215,0,0
2025/07/11/14:07:35.127270,0,0
2025/07/11/14:07:35.177579,0,0
2025/07/11/14:07:35.227286,0,0
2025/07/11/14:07:35.277570,0,0
2025/07/11/14:07:35.327198,0,0
2025/07/11/14:07:35.377471,0,0
2025/07/11/14:07:35.427262,0,0
2025/07/11/14:07:35.477465,0,0
2025/07/11/14:07:35.527267,0,0
2025/07/11/14:07:35.577220,0,0
2025/07/11/14:07:35.627208,0,0
2025/07/11/14:07:35.677190,0,0
2025/07/11/14:07:35.727257,0,0
2025/07/11/14:07:35.777547,0,0
2025/07/11/14:07:35.827164,0,0
2025/07/11/14:07:35.877236,0,0
2025/07/11/14:07:35.927189,0,0
2025/07/11/14:07:35.977199,0,0
2025/07/11/14:07:36.027259,0,0
2025/07/11/14:07:36.077445,0,0
2025/07/11/14:07:36.127075,0,0
2025/07/11/14:07:36.177494,0,0
2025/07/11/14:07:36.227113,0,0
2025/07/11/14:07:36.277183,0,0
2025/07/11/14:07:36.327157,0,0
2025/07/11/14:07:36.377051,0,0
2025/07/11/14:07:36.427072,0,0
2025/07/11/14:07:36.477302,0,0
2025/07/11/14:07:36.527322,0,0
2025/07/11/14:07:36.577192,0,0
2025/07/11/14:07:36.627203,0,0
2025/07/11/14:07:36.677170,0,0
2025/07/11/14:07:36.727180,0,0
2025/07/11/14:07:36.777258,0,0
2025/07/11/14:07:36.827125,0,0
2025/07/11/14:07:36.877096,0,0
2025/07/11/14:07:36.927002,0,0
2025/07/11/14:07:36.976955,0,0
2025/07/11/14:07:37.027052,0,0
2025/07/11/14:07:37.077204,0,0
2025/07/11/14:07:37.127034,0,0
2025/07/11/14:07:37.177177,0,0
2025/07/11/14:07:37.227182,0,0
2025/07/11/14:07:37.277081,0,0
2025/07/11/14:07:37.327224,0,0
2025/07/11/14:07:37.377196,0,0
2025/07/11/14:07:37.427191,0,0
2025/07/11/14:07:37.477220,0,0
2025/07/11/14:07:37.526973,0,0
2025/07/11/14:07:37.576904,0,0
2025/07/11/14:07:37.627165,0,0
2025/07/11/14:07:37.677067,0,0
2025/07/11/14:07:37.726862,0,0
2025/07/11/14:07:37.776877,0,0
2025/07/11/14:07:37.827066,0,0
2025/07/11/14:07:37.877156,0,0
2025/07/11/14:07:37.927088,0,0
